GEOID,ALAND,AWATER
12115000107,0,29730193
12115000109,0,945575575
12129ZZZZZZ,0,597913826
12033000194,0,7957018
12033000182,0,4202589
12033000174,0,12229974
12033000061,0,380846812
12033000213,0,6015420
12033000004,0,14272996
12033000015,0,4073606
12033000067,0,24789980
12033000063,0,2987095
12033000203,0,669278966
12033000225,0,4494881
12033000079,0,5119042
12033000028,0,3156278
12033000023,0,3995717
12033000084,0,8594133
12033000217,0,8377254
12033000010,0,8674732
12075000ZZZ,0,1009758429
12086000ZZZ,0,135839064
12103000286,0,51132336
12061ZZZZZZ,23652,198907565
12081000155,0,13757645
12011ZZZZZZ,2078781550,200885749
12101101000,0,63678
12101000219,0,83064
12035009980,0,139355686
12071000144,0,3654982
12071000140,0,1636571
12071000017,0,2138428
12071000135,0,3971534
12071000294,0,2556223

